,article_bias_prediction,bignewsbln,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
BertPoliticalBiasFinetune,504 / 1000,513 / 1000,517 / 1000,492 / 1000,185 / 434,501 / 1000,511 / 1000,510 / 1000,473 / 1000,512 / 1000,507 / 1000,520 / 1000
PoliticalIdeologiesRobertaFinetuned,497 / 1000,498 / 1000,483 / 1000,589 / 1000,352 / 434,989 / 1000,548 / 1000,580 / 1000,597 / 1000,493 / 1000,509 / 1000,511 / 1000
DebertaPoliticalClassification,616 / 1000,625 / 1000,650 / 1000,601 / 1000,253 / 434,664 / 1000,683 / 1000,744 / 1000,481 / 1000,554 / 1000,589 / 1000,598 / 1000
DistilBertPoliticalTweets,573 / 1000,567 / 1000,562 / 1000,624 / 1000,326 / 434,814 / 1000,605 / 1000,715 / 1000,744 / 1000,536 / 1000,534 / 1000,564 / 1000

,article_bias_prediction,bignewsbln,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
BertPoliticalBiasFinetune,0.504,0.513,0.517,0.492,0.426,0.501,0.511,0.510,0.473,0.512,0.507,0.520,0.499
PoliticalIdeologiesRobertaFinetuned,0.497,0.498,0.483,0.589,0.811,0.989,0.548,0.580,0.597,0.493,0.509,0.511,0.592
DebertaPoliticalClassification,0.616,0.625,0.650,0.601,0.583,0.664,0.683,0.744,0.481,0.554,0.589,0.598,0.616
DistilBertPoliticalTweets,0.573,0.567,0.562,0.624,0.751,0.814,0.605,0.715,0.744,0.536,0.534,0.564,0.632

,article_bias_prediction,bignewsbln,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
BertPoliticalBiasFinetune,0.352,0.398,0.400,0.381,0.261,0.341,0.407,0.496,0.472,0.474,0.366,0.390,0.395
PoliticalIdeologiesRobertaFinetuned,0.433,0.455,0.439,0.583,0.812,0.989,0.512,0.533,0.577,0.470,0.465,0.470,0.562
DebertaPoliticalClassification,0.613,0.622,0.650,0.566,0.455,0.629,0.683,0.744,0.455,0.551,0.584,0.594,0.596
DistilBertPoliticalTweets,0.570,0.567,0.561,0.615,0.732,0.811,0.605,0.713,0.741,0.530,0.533,0.561,0.628

,article_bias_prediction,bignewsbln,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
BertPoliticalBiasFinetune,0.564,0.555,0.577,0.472,0.564,0.536,0.537,0.511,0.473,0.517,0.562,0.637,0.542
PoliticalIdeologiesRobertaFinetuned,0.495,0.497,0.475,0.595,0.824,0.989,0.568,0.634,0.620,0.492,0.513,0.516,0.602
DebertaPoliticalClassification,0.620,0.630,0.650,0.650,0.596,0.764,0.684,0.744,0.476,0.555,0.593,0.602,0.630
DistilBertPoliticalTweets,0.575,0.567,0.562,0.636,0.784,0.835,0.606,0.720,0.754,0.538,0.534,0.566,0.640

,article_bias_prediction,bignewsbln,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
BertPoliticalBiasFinetune,0.504,0.513,0.517,0.492,0.426,0.501,0.511,0.510,0.473,0.512,0.507,0.520,0.499
PoliticalIdeologiesRobertaFinetuned,0.497,0.498,0.483,0.589,0.811,0.989,0.548,0.580,0.597,0.493,0.509,0.511,0.592
DebertaPoliticalClassification,0.616,0.625,0.650,0.601,0.583,0.664,0.683,0.744,0.481,0.554,0.589,0.598,0.616
DistilBertPoliticalTweets,0.573,0.567,0.562,0.624,0.751,0.814,0.605,0.715,0.744,0.536,0.534,0.564,0.632
